#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
48,opinion,1113955811,31,studies indicate that american industrial output has tripled.,verified,active,172907.0,41552.0,5972.0,2884.0,296.0
49,opinion,7939452593,55,studies indicate that drone deliveries are becoming more common.,not verified,active,86404.0,19609.0,2239.0,717.0,118.0
50,claim,8766085629,38,a friend told me that the metro of st. petersburg is deepest.,not verified,banned,134729.0,40716.0,8155.0,3830.0,224.0
51,opinion,2614839824,26,i heard that drone deliveries are becoming more common.,not verified,under review,13304.0,3189.0,537.0,256.0,33.0
52,opinion,9266472967,39,i heard that drone deliveries are becoming more common.,not verified,active,46708.0,11534.0,2101.0,278.0,22.0
53,opinion,3694246544,20,i heard that the metro of st. petersburg is deepest.,not verified,active,3354.0,865.0,95.0,39.0,5.0
54,opinion,2007989861,59,a friend told me that american industrial output has tripled.,not verified,active,65535.0,16538.0,3421.0,830.0,117.0
55,opinion,2212762165,6,studies indicate that the number of businesses is declining.,not verified,active,85757.0,22028.0,4360.0,2069.0,84.0
56,opinion,8278982550,19,someone shared with me that the number of businesses is declining.,not verified,active,7242.0,1720.0,328.0,160.0,3.0
57,claim,3746961774,48,studies indicate that there are more microbes than stars.,not verified,under review,352144.0,132340.0,14094.0,2045.0,1045.0
58,claim,9984696367,29,a friend told me that the metro of st. petersburg is deepest.,not verified,active,126863.0,46957.0,11152.0,1228.0,231.0
59,claim,3405642279,57,studies indicate that there are more microbes than stars.,not verified,active,14479.0,4503.0,1183.0,161.0,42.0
60,claim,7712083642,53,studies indicate that drone deliveries are becoming more common.,not verified,active,43975.0,13159.0,1826.0,549.0,84.0
61,claim,7778554146,32,someone shared with me that the metro of st. petersburg is deepest.,not verified,active,16051.0,4779.0,997.0,166.0,11.0
62,claim,4579419826,10,a friend told me that the metro of st. petersburg is deepest.,not verified,active,74451.0,26644.0,3071.0,308.0,173.0
63,opinion,5463739971,39,i heard that there are more microbes than stars.,not verified,active,43454.0,8665.0,1116.0,531.0,28.0
64,claim,8285923973,27,someone shared with me that the metro of st. petersburg is deepest.,not verified,under review,535476.0,178901.0,22633.0,9111.0,1569.0
65,claim,2121369975,59,someone shared with me that american industrial output has tripled.,not verified,active,,,,,
66,opinion,6922344161,31,research shows that there are more microbes than stars.,not verified,active,144839.0,34240.0,7764.0,3680.0,160.0
67,claim,7612264219,48,research shows that american industrial output has tripled.,not verified,active,34432.0,10419.0,2292.0,455.0,88.0
68,opinion,5204472440,11,i heard that the metro of st. petersburg is deepest.,not verified,active,81510.0,17516.0,2164.0,321.0,236.0
69,claim,5071925272,29,research shows that there are more microbes than stars.,not verified,active,24870.0,7845.0,1741.0,181.0,67.0
70,opinion,9262626122,43,a friend told me that the number of businesses is declining.,not verified,active,94558.0,22706.0,4166.0,952.0,282.0
71,opinion,7647450261,37,someone shared with me that there are more microbes than stars.,not verified,active,8720.0,2029.0,403.0,178.0,9.0
72,claim,8401188797,11,someone shared with me that the number of businesses is declining.,not verified,active,13165.0,4385.0,910.0,240.0,27.0
73,claim,7852181622,24,studies indicate that the metro of st. petersburg is deepest.,not verified,active,20278.0,5714.0,1188.0,289.0,42.0
74,opinion,2231806416,45,i heard that the number of businesses is declining.,not verified,active,4638.0,1054.0,182.0,37.0,7.0
75,opinion,2935647926,52,studies indicate that drone deliveries are becoming more common.,not verified,active,29335.0,7423.0,990.0,329.0,42.0
76,opinion,7723916741,37,studies indicate that there are more microbes than stars.,not verified,active,33269.0,8074.0,1056.0,417.0,46.0
77,opinion,9874679613,27,someone shared with me that the metro of st. petersburg is deepest.,not verified,active,6097.0,1127.0,325.0,80.0,10.0
78,claim,1582726894,23,research shows that american industrial output has tripled.,not verified,active,27852.0,8542.0,2426.0,1129.0,58.0
79,claim,4842230482,58,studies indicate that the number of businesses is declining.,not verified,active,10988.0,4174.0,640.0,71.0,14.0
80,claim,6375213612,51,a friend told me that there are more microbes than stars.,not verified,active,104057.0,34001.0,5597.0,1142.0,172.0
81,opinion,9133584799,40,i heard that there are more microbes than stars.,not verified,active,35595.0,7496.0,1948.0,749.0,73.0
82,opinion,1752353535,21,someone shared with me that american industrial output has tripled.,not verified,active,151792.0,37892.0,4132.0,1350.0,188.0
83,claim,1091254282,13,a friend told me that drone deliveries are becoming more common.,not verified,active,20884.0,7035.0,903.0,422.0,37.0
84,claim,7783934685,38,someone shared with me that american industrial output has tripled.,not verified,active,20882.0,6866.0,1375.0,235.0,25.0
85,claim,7529813886,53,a friend told me that the metro of st. petersburg is deepest.,not verified,active,20678.0,7748.0,832.0,102.0,51.0
86,claim,6157735070,6,a friend told me that the number of businesses is declining.,not verified,active,15618.0,4872.0,799.0,191.0,42.0
87,opinion,9959224280,40,someone shared with me that american industrial output has tripled.,not verified,active,76679.0,16445.0,2869.0,782.0,100.0
88,opinion,4688242278,57,a friend told me that american industrial output has tripled.,not verified,active,16616.0,3183.0,530.0,261.0,42.0
89,opinion,6962190059,51,someone shared with me that the metro of st. petersburg is deepest.,verified,active,16985.0,4262.0,891.0,229.0,32.0
90,claim,7513953049,32,research shows that the number of businesses is declining.,not verified,active,2402.0,864.0,136.0,28.0,5.0
91,claim,7748566529,54,studies indicate that drone deliveries are becoming more common.,not verified,active,168139.0,47140.0,7206.0,3561.0,114.0
92,opinion,8093078713,28,someone shared with me that american industrial output has tripled.,not verified,active,108707.0,24006.0,4708.0,2331.0,295.0
93,opinion,3945963881,38,a friend told me that drone deliveries are becoming more common.,not verified,active,17302.0,3803.0,924.0,373.0,50.0
94,opinion,7939467766,52,research shows that american industrial output has tripled.,not verified,active,36779.0,6859.0,1089.0,401.0,79.0
95,opinion,1804724493,20,a friend told me that the metro of st. petersburg is deepest.,not verified,active,32961.0,6047.0,992.0,408.0,66.0
96,claim,4509430376,33,i heard that the metro of st. petersburg is deepest.,not verified,active,4589.0,1324.0,280.0,86.0,12.0
97,opinion,8085181704,21,research shows that the metro of st. petersburg is deepest.,not verified,active,37879.0,7028.0,1245.0,214.0,97.0
98,claim,2563721343,16,a friend told me that drone deliveries are becoming more common.,not verified,active,6014.0,1830.0,364.0,108.0,8.0
99,claim,9066814558,26,someone shared with me that the metro of st. petersburg is deepest.,not verified,banned,37863.0,12585.0,1700.0,515.0,94.0
100,claim,4495554756,50,a friend told me that there are more microbes than stars.,not verified,banned,68405.0,25107.0,5681.0,2488.0,26.0
101,claim,1712624261,11,a friend told me that the metro of st. petersburg is deepest.,verified,banned,86460.0,32145.0,6158.0,1140.0,102.0
102,opinion,4836967207,38,research shows that there are more microbes than stars.,not verified,active,2513.0,517.0,116.0,39.0,7.0
103,claim,2294583321,22,someone shared with me that there are more microbes than stars.,not verified,banned,869674.0,294862.0,60157.0,29822.0,691.0
104,opinion,1447296500,48,research shows that the metro of st. petersburg is deepest.,verified,active,61416.0,13860.0,1650.0,434.0,49.0
105,opinion,2538785172,18,studies indicate that american industrial output has tripled.,not verified,active,42299.0,8021.0,2295.0,1080.0,90.0
106,claim,6078238377,30,someone shared with me that the number of businesses is declining.,not verified,active,31696.0,10847.0,2358.0,638.0,42.0
107,claim,7022504670,16,research shows that american industrial output has tripled.,not verified,under review,33017.0,10053.0,2383.0,1149.0,11.0
108,opinion,8868042083,58,i heard that drone deliveries are becoming more common.,not verified,active,571.0,145.0,28.0,3.0,1.0
109,claim,7435957541,33,a friend told me that there are more microbes than stars.,verified,active,20960.0,7669.0,1332.0,242.0,60.0
110,claim,3970405945,31,research shows that there are more microbes than stars.,not verified,active,73757.0,22944.0,5875.0,1998.0,93.0
111,claim,2978401863,27,i heard that drone deliveries are becoming more common.,not verified,banned,4225.0,1244.0,317.0,158.0,4.0
112,claim,8264023516,6,someone shared with me that drone deliveries are becoming more common.,not verified,active,6693.0,1977.0,534.0,72.0,14.0
113,opinion,6328089872,28,someone shared with me that drone deliveries are becoming more common.,not verified,active,58228.0,12762.0,2394.0,441.0,54.0
114,opinion,1266591164,5,someone shared with me that the number of businesses is declining.,not verified,active,42773.0,9159.0,1133.0,348.0,59.0
115,opinion,5259759418,15,a friend told me that drone deliveries are becoming more common.,not verified,active,9119.0,1723.0,248.0,32.0,9.0
116,opinion,6013805655,41,someone shared with me that american industrial output has tripled.,not verified,active,70386.0,18204.0,1951.0,896.0,146.0
117,opinion,4072527874,16,research shows that american industrial output has tripled.,not verified,active,88687.0,21210.0,2850.0,1419.0,107.0
118,claim,3772127793,57,someone shared with me that the metro of st. petersburg is deepest.,not verified,active,13235.0,5011.0,553.0,58.0,39.0
119,opinion,5572181003,9,a friend told me that drone deliveries are becoming more common.,not verified,active,50514.0,11354.0,2400.0,404.0,51.0
120,opinion,7235306076,26,studies indicate that american industrial output has tripled.,not verified,active,23751.0,5269.0,1100.0,441.0,26.0
121,opinion,3340918459,38,research shows that drone deliveries are becoming more common.,not verified,active,3012.0,660.0,113.0,54.0,4.0
122,opinion,7434234220,38,i heard that american industrial output has tripled.,not verified,active,98791.0,21732.0,5191.0,1160.0,210.0
123,claim,9639292657,23,research shows that the metro of st. petersburg is deepest.,not verified,active,85947.0,24211.0,5041.0,1496.0,47.0
124,claim,4857229135,17,someone shared with me that drone deliveries are becoming more common.,not verified,active,19132.0,6020.0,846.0,362.0,25.0
125,claim,3932548473,55,studies indicate that there are more microbes than stars.,not verified,active,37912.0,13439.0,2426.0,703.0,100.0
126,claim,5335299802,42,a friend told me that the metro of st. petersburg is deepest.,verified,under review,152262.0,51798.0,7694.0,3773.0,87.0
127,opinion,6499985092,44,research shows that american industrial output has tripled.,not verified,active,9768.0,1930.0,356.0,164.0,8.0
128,opinion,3699673760,49,research shows that there are more microbes than stars.,not verified,under review,787652.0,164934.0,29045.0,10000.0,1193.0
129,claim,5657344035,47,someone shared with me that there are more microbes than stars.,not verified,under review,306252.0,114906.0,16438.0,2285.0,143.0
130,opinion,6611083064,43,studies indicate that the number of businesses is declining.,verified,active,101005.0,23443.0,2885.0,374.0,56.0
131,claim,8925846430,21,i heard that american industrial output has tripled.,not verified,active,64582.0,18571.0,4141.0,1916.0,99.0
132,claim,3258349608,13,studies indicate that the metro of st. petersburg is deepest.,not verified,under review,5616.0,1995.0,431.0,128.0,9.0
133,claim,9063057854,22,studies indicate that drone deliveries are becoming more common.,not verified,active,119923.0,35576.0,6762.0,1045.0,126.0
134,claim,5390238487,42,i heard that drone deliveries are becoming more common.,not verified,active,197519.0,74338.0,9806.0,3278.0,340.0
135,opinion,2141766755,47,a friend told me that there are more microbes than stars.,not verified,active,74719.0,14692.0,3022.0,1027.0,216.0
136,claim,2965278993,43,research shows that the metro of st. petersburg is deepest.,not verified,active,21802.0,6505.0,927.0,371.0,58.0
137,opinion,4152025745,23,i heard that there are more microbes than stars.,not verified,active,26025.0,6556.0,753.0,218.0,31.0
138,opinion,5810325326,34,i heard that the number of businesses is declining.,not verified,active,101872.0,22750.0,5500.0,1221.0,166.0
139,claim,9556415361,6,someone shared with me that the number of businesses is declining.,not verified,active,16438.0,6043.0,1185.0,212.0,31.0
140,opinion,1418001159,8,a friend told me that the metro of st. petersburg is deepest.,not verified,active,7649.0,1483.0,400.0,195.0,20.0
141,opinion,3015630424,59,a friend told me that american industrial output has tripled.,not verified,active,86525.0,17521.0,2318.0,727.0,129.0
142,claim,2446973109,9,someone shared with me that american industrial output has tripled.,not verified,active,10742.0,3514.0,440.0,151.0,31.0
143,opinion,9993135261,18,a friend told me that american industrial output has tripled.,not verified,under review,81927.0,16930.0,2100.0,253.0,169.0
144,claim,3105043060,58,someone shared with me that the number of businesses is declining.,not verified,active,45278.0,15123.0,3014.0,422.0,34.0
145,claim,8828888032,24,i heard that there are more microbes than stars.,not verified,under review,197769.0,69650.0,17651.0,7047.0,418.0
146,claim,4999800324,56,research shows that there are more microbes than stars.,not verified,active,74750.0,24931.0,5737.0,2153.0,26.0
147,opinion,3303107088,17,someone shared with me that american industrial output has tripled.,not verified,active,830.0,207.0,30.0,7.0,2.0
148,opinion,9930301383,36,research shows that the metro of st. petersburg is deepest.,not verified,active,62508.0,14686.0,3150.0,727.0,121.0
149,claim,6683141360,42,studies indicate that there are more microbes than stars.,not verified,active,45627.0,13341.0,2039.0,908.0,75.0
150,claim,4688304524,11,studies indicate that the metro of st. petersburg is deepest.,not verified,under review,181802.0,51743.0,8743.0,4091.0,286.0
151,opinion,6091755911,22,research shows that the metro of st. petersburg is deepest.,not verified,under review,15923.0,3369.0,739.0,301.0,7.0
152,claim,8689420430,58,studies indicate that there are more microbes than stars.,not verified,active,88432.0,30987.0,6831.0,912.0,42.0
153,claim,6152539909,11,i heard that the number of businesses is declining.,not verified,active,14427.0,5276.0,801.0,372.0,16.0
154,claim,6244895368,31,someone shared with me that the number of businesses is declining.,not verified,active,33645.0,12316.0,2426.0,585.0,26.0
155,opinion,4114804906,6,i heard that there are more microbes than stars.,not verified,under review,76894.0,14567.0,2044.0,397.0,94.0
156,claim,5015052056,29,a friend told me that there are more microbes than stars.,not verified,active,181929.0,65591.0,9388.0,4441.0,539.0
157,opinion,6379516909,53,a friend told me that the metro of st. petersburg is deepest.,not verified,active,10817.0,2539.0,526.0,212.0,27.0
158,opinion,7900285125,54,a friend told me that the metro of st. petersburg is deepest.,not verified,active,81283.0,18008.0,4197.0,1496.0,58.0
159,claim,9632821642,46,studies indicate that there are more microbes than stars.,not verified,active,15264.0,5032.0,910.0,254.0,5.0
160,opinion,6579037244,18,i heard that american industrial output has tripled.,not verified,active,14789.0,3510.0,726.0,241.0,7.0
161,claim,9622513108,13,someone shared with me that drone deliveries are becoming more common.,not verified,active,27384.0,10386.0,1435.0,505.0,28.0
162,opinion,9907361288,57,research shows that drone deliveries are becoming more common.,verified,active,93491.0,22160.0,4608.0,2198.0,76.0
163,opinion,3572978525,56,studies indicate that drone deliveries are becoming more common.,not verified,active,58167.0,13907.0,1551.0,258.0,100.0
164,opinion,2652186622,21,research shows that the number of businesses is declining.,not verified,active,102644.0,19971.0,3394.0,1337.0,236.0
165,claim,2242250505,54,research shows that the number of businesses is declining.,not verified,banned,999817.0,282599.0,78984.0,20297.0,624.0
166,opinion,5029795090,50,studies indicate that there are more microbes than stars.,not verified,active,155830.0,30972.0,5548.0,2645.0,281.0
167,claim,9889497844,47,studies indicate that the number of businesses is declining.,not verified,active,4014.0,1305.0,285.0,60.0,9.0
168,claim,1863152544,33,someone shared with me that there are more microbes than stars.,not verified,active,63839.0,20116.0,5355.0,1610.0,136.0
169,claim,6858020615,36,a friend told me that there are more microbes than stars.,not verified,banned,105903.0,34313.0,4952.0,649.0,197.0
170,opinion,4495713114,11,research shows that the metro of st. petersburg is deepest.,not verified,active,91894.0,18650.0,4090.0,1985.0,143.0
171,opinion,1003917877,35,studies indicate that drone deliveries are becoming more common.,not verified,active,99156.0,20704.0,3425.0,832.0,94.0
172,claim,7201371541,56,someone shared with me that american industrial output has tripled.,not verified,active,40064.0,14234.0,3293.0,906.0,105.0
173,opinion,2605066846,10,studies indicate that the metro of st. petersburg is deepest.,not verified,active,25781.0,6049.0,960.0,219.0,17.0
174,claim,2966617606,27,i heard that the metro of st. petersburg is deepest.,not verified,under review,346817.0,123312.0,15447.0,6040.0,422.0
175,opinion,8069165429,12,studies indicate that there are more microbes than stars.,not verified,active,103586.0,25878.0,5432.0,2714.0,73.0
176,claim,5416077496,54,i heard that drone deliveries are becoming more common.,not verified,active,67020.0,24085.0,4707.0,491.0,76.0
177,opinion,4222338223,31,someone shared with me that drone deliveries are becoming more common.,not verified,active,118713.0,25110.0,4026.0,1751.0,236.0
178,claim,3499635163,14,a friend told me that there are more microbes than stars.,not verified,banned,172552.0,52352.0,9966.0,3427.0,278.0
179,opinion,9581948511,23,i heard that the number of businesses is declining.,not verified,active,55505.0,13400.0,3004.0,538.0,44.0
180,claim,3466914130,58,someone shared with me that the number of businesses is declining.,not verified,active,42415.0,15304.0,2895.0,378.0,14.0
181,claim,7996262734,29,research shows that the metro of st. petersburg is deepest.,not verified,active,33487.0,12004.0,2175.0,266.0,29.0
182,claim,6399705675,32,someone shared with me that the number of businesses is declining.,not verified,active,53190.0,19111.0,2508.0,665.0,107.0
183,opinion,8848972411,26,a friend told me that there are more microbes than stars.,not verified,active,41180.0,7799.0,1816.0,751.0,77.0
184,opinion,7594609922,56,i heard that there are more microbes than stars.,not verified,active,65697.0,15188.0,3449.0,566.0,29.0
185,claim,5767306386,12,studies indicate that drone deliveries are becoming more common.,not verified,active,136083.0,51036.0,7226.0,2113.0,233.0
186,opinion,7925941371,11,someone shared with me that american industrial output has tripled.,not verified,active,23344.0,5441.0,740.0,92.0,9.0
187,opinion,4545350109,30,someone shared with me that there are more microbes than stars.,not verified,active,26481.0,5776.0,1324.0,289.0,15.0
188,opinion,8485398764,13,someone shared with me that american industrial output has tripled.,not verified,active,757.0,143.0,38.0,13.0,1.0
189,opinion,6179544359,46,research shows that the number of businesses is declining.,verified,active,37437.0,9168.0,1030.0,302.0,56.0
190,claim,6756262937,26,studies indicate that the metro of st. petersburg is deepest.,not verified,under review,62097.0,18721.0,4534.0,944.0,41.0
191,claim,6406432728,20,studies indicate that there are more microbes than stars.,not verified,active,62939.0,22288.0,3179.0,534.0,149.0
192,opinion,6009772759,59,i heard that there are more microbes than stars.,not verified,active,75613.0,16018.0,3098.0,685.0,115.0
193,opinion,5461032475,29,i heard that the number of businesses is declining.,not verified,under review,17276.0,4141.0,746.0,118.0,25.0
194,opinion,6121981195,10,a friend told me that there are more microbes than stars.,not verified,active,39554.0,7700.0,1056.0,446.0,109.0
195,claim,2655472074,41,i heard that there are more microbes than stars.,not verified,active,38202.0,11790.0,2757.0,1357.0,103.0
196,claim,4412531520,8,a friend told me that the metro of st. petersburg is deepest.,not verified,active,52001.0,17649.0,4556.0,715.0,108.0
197,opinion,1290538879,13,someone shared with me that drone deliveries are becoming more common.,not verified,active,40450.0,9469.0,1415.0,156.0,71.0
198,opinion,7955370230,52,i heard that drone deliveries are becoming more common.,not verified,under review,479359.0,101844.0,23935.0,9963.0,182.0
199,opinion,1726191597,29,i heard that american industrial output has tripled.,not verified,active,112465.0,27303.0,3614.0,768.0,236.0
200,opinion,4886765934,15,someone shared with me that the metro of st. petersburg is deepest.,not verified,active,38407.0,9373.0,1484.0,258.0,62.0
201,opinion,1711706552,28,a friend told me that the number of businesses is declining.,not verified,active,5846.0,1338.0,204.0,81.0,6.0
202,claim,9943568331,59,research shows that drone deliveries are becoming more common.,not verified,active,7022.0,2383.0,531.0,188.0,5.0
203,claim,5760705899,36,a friend told me that american industrial output has tripled.,not verified,active,23574.0,7632.0,1483.0,327.0,18.0
204,opinion,8850952995,56,research shows that american industrial output has tripled.,not verified,active,34288.0,7193.0,1754.0,845.0,89.0
205,opinion,9200322534,24,i heard that american industrial output has tripled.,not verified,active,12748.0,2472.0,484.0,68.0,8.0
206,claim,1694943743,7,someone shared with me that drone deliveries are becoming more common.,not verified,active,30142.0,8704.0,2199.0,728.0,22.0
207,claim,7517065159,31,studies indicate that there are more microbes than stars.,not verified,under review,315.0,90.0,16.0,3.0,1.0
208,opinion,5460048274,50,someone shared with me that american industrial output has tripled.,not verified,active,13776.0,3098.0,601.0,287.0,38.0
209,claim,4641102291,19,a friend told me that there are more microbes than stars.,not verified,under review,993889.0,368119.0,58443.0,26740.0,299.0
210,claim,5378938037,51,someone shared with me that drone deliveries are becoming more common.,not verified,active,211923.0,62533.0,18901.0,2234.0,186.0
211,opinion,7698823201,47,research shows that american industrial output has tripled.,not verified,active,10302.0,2644.0,377.0,150.0,6.0
212,opinion,2302447647,46,a friend told me that american industrial output has tripled.,not verified,active,20707.0,4560.0,530.0,263.0,31.0
213,opinion,9581730734,6,someone shared with me that american industrial output has tripled.,not verified,active,,,,,
214,claim,9060522087,28,a friend told me that there are more microbes than stars.,verified,banned,308399.0,112146.0,14353.0,2071.0,358.0
215,opinion,1463419488,30,someone shared with me that there are more microbes than stars.,not verified,active,11411.0,2173.0,432.0,148.0,24.0
216,claim,8092015240,50,studies indicate that the number of businesses is declining.,not verified,under review,73116.0,24007.0,3041.0,997.0,182.0
217,claim,1877337451,56,research shows that the metro of st. petersburg is deepest.,not verified,active,119035.0,34629.0,5615.0,1328.0,274.0
218,opinion,1556702754,51,research shows that drone deliveries are becoming more common.,not verified,active,52402.0,9690.0,1911.0,405.0,118.0
219,opinion,1635615512,18,research shows that the metro of st. petersburg is deepest.,not verified,active,17157.0,4229.0,504.0,154.0,6.0
220,opinion,7322940306,27,research shows that drone deliveries are becoming more common.,not verified,active,14927.0,2879.0,547.0,252.0,32.0
221,opinion,7404143189,40,someone shared with me that american industrial output has tripled.,not verified,under review,199912.0,41458.0,7119.0,3340.0,116.0
222,opinion,1041684710,37,someone shared with me that there are more microbes than stars.,verified,active,59738.0,12103.0,3043.0,695.0,114.0
223,claim,4149711263,28,research shows that drone deliveries are becoming more common.,not verified,banned,6138.0,2303.0,396.0,70.0,15.0
224,claim,2053728466,41,research shows that the number of businesses is declining.,not verified,active,21321.0,6930.0,1015.0,310.0,49.0
225,claim,7805608871,42,studies indicate that american industrial output has tripled.,not verified,active,17168.0,5304.0,1235.0,376.0,16.0
226,claim,7951027923,30,i heard that there are more microbes than stars.,not verified,under review,402476.0,137088.0,34327.0,5346.0,207.0
227,opinion,3630848226,57,studies indicate that drone deliveries are becoming more common.,not verified,active,24431.0,6349.0,684.0,179.0,9.0
228,claim,2189807084,36,i heard that the number of businesses is declining.,not verified,active,38137.0,12151.0,3349.0,1191.0,63.0
229,opinion,6496924243,31,studies indicate that the number of businesses is declining.,not verified,active,53264.0,12042.0,2398.0,396.0,31.0
230,opinion,2406309090,14,someone shared with me that the number of businesses is declining.,not verified,active,26956.0,6430.0,980.0,215.0,48.0
231,opinion,8816936202,38,i heard that drone deliveries are becoming more common.,not verified,active,204828.0,47733.0,8381.0,3136.0,131.0
232,opinion,6772670845,9,i heard that the number of businesses is declining.,not verified,active,49153.0,9181.0,2133.0,923.0,96.0
